2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/ShdwOffsetX/#text:	0.1181102362204724, 0.1181102362204725
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/ShdwOffsetX@Unit:	MM
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/ShdwOffsetY/#text:	-0.1181102362204724, -0.1181102362204725
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/ShdwOffsetY@Unit:	MM
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/ShdwScaleFactor/#text:	1
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/ShdwType/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/ShdwType@F:	No Formula
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/UIVisibility/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/UIVisibility@F:	No Formula
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PrintProps/CenterX/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PrintProps/CenterY/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PrintProps/OnPage/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PrintProps/PageBottomMargin/#text:	0.25
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PrintProps/PageLeftMargin/#text:	0.25
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PrintProps/PageRightMargin/#text:	0.25
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PrintProps/PageTopMargin/#text:	0.25
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PrintProps/PagesX/#text:	1
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PrintProps/PagesY/#text:	1
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PrintProps/PaperKind/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PrintProps/PaperSource/#text:	7
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PrintProps/PrintGrid/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PrintProps/PrintPageOrientation/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PrintProps/ScaleX/#text:	1
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PrintProps/ScaleY/#text:	1
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet@FillStyle:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet@LineStyle:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet@TextStyle:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Act/Action/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Act/Action@F:	DOCMD(1312)
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Act/BeginGroup/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Act/BeginGroup@F:	No Formula
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Act/ButtonFace@F:	No Formula
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Act/Checked/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Act/Checked@F:	No Formula
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Act/Disabled/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Act/Disabled@F:	No Formula
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Act/Invisible/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Act/Invisible@F:	No Formula
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Act/Menu/#text:	%P&roperties
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Act/ReadOnly/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Act/ReadOnly@F:	No Formula
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Act/SortKey@F:	No Formula
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Act/TagName@F:	No Formula
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Shapes/Shape/Act@ID:	1
